panel	readout	program	emmean	SE	centered	target	n	pearson_r	ci_low	ci_high	pearson_p	p_formatted
A	ACTA2 (raw)	activated_migratory	0.722075352653851	0.0938248116226354	-0.324512325213299							
A	ACTA2 (raw)	basement_membrane	1.04343098192279	0.057636379540798	-0.0031566959443603							
A	ACTA2 (raw)	vascular_stabilizing	1.37425669902481	0.056247110248249	0.32766902115766							
A	AGTR1 (raw)	activated_migratory	0.59134318630462	0.0765106458518318	-0.10435442944499							
A	AGTR1 (raw)	vascular_stabilizing	0.800052045194599	0.0386680934467131	0.10435442944499							
A	AGTR1 (denoised)	activated_migratory	1.00469939958997	0.0500626256137499	0.0354327039121301							
A	AGTR1 (denoised)	vascular_stabilizing	0.93383399176571	0.03426198881872	-0.0354327039121299							
B	AGTR1 (raw)					ACTA2	154	0.283321467169615	0.131029522286878	0.422550050144316	0.000370118368929242	3.70e-04
B	AGTR1 (denoised)					ACTA2	154	0.0369771577357208	-0.121899287418157	0.194006050233655	0.648899463117446	6.49e-01
B	AGTR1 (raw)					Contractile program (-ACTA2)	154	0.39087453347899	0.248045714148155	0.517071608680181	5.3878922281349e-07	5.39e-07
B	AGTR1 (denoised)					Contractile program (-ACTA2)	154	0.155524549214891	-0.00270552695576989	0.306157125829036	0.0541017968049159	5.41e-02
A (contrasts)	ACTA2_expr	activated_migratory - basement_membrane	-0.321355629268939	0.080903879258704							7.1251670771084e-05	7.13e-05
A (contrasts)	ACTA2_expr	activated_migratory - vascular_stabilizing	-0.652181346370962	0.0801423909434357							6.03874842136075e-16	6.04e-16
A (contrasts)	ACTA2_expr	basement_membrane - vascular_stabilizing	-0.330825717102023	0.033173630606762							6.02997385290585e-23	<2.2e-16
A (contrasts)	ACTA2_detect	activated_migratory - basement_membrane	-0.128030472230434	0.0315481655050282							4.94409545340373e-05	4.94e-05
A (contrasts)	ACTA2_detect	activated_migratory - vascular_stabilizing	-0.294156753610444	0.0312510061997527							7.2523919569677e-21	<2.2e-16
A (contrasts)	ACTA2_detect	basement_membrane - vascular_stabilizing	-0.16612628138001	0.0128883101770542							1.54357052419491e-37	<2.2e-16
