cohort	species	dataset	cell_count_basis	n_donors	n_studies	n_cells	cells_median	cells_min	cells_max	n_healthy	n_copd	n_fibrotic	n_other	age_median	age_min	age_max	pct_age_known	pct_female	pct_smoking_known	pct_bmi_known	n_donors_ge10	n_donors_ge20	n_donors_age_sex	donor_metadata_available	notes
HLCA (pericytes)	human	Kaminski_2020	pericytes	43	1	329	3	1	70	8	12	23	0				0	0	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Banovich_Kropski_2020	pericytes	39	1	720	3	1	115	21	0	18	0	53	25	69	53.8	12.8	51.3	38.5				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Regev_2021_Nuclei	pericytes	14	1	904	58	3	168	0	0	0	14				0	0	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Schiller_2020	pericytes	10	1	211	11.5	1	98	7	0	3	0	58	23	73	100	30	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Sheppard_2020	pericytes	8	1	2613	202	133	892	3	0	5	0				0	0	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Eils_2020	pericytes	7	1	64	6	1	24	7	0	0	0	46	44	56	100	71.4	100	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Schiller_2021	pericytes	6	1	128	5.5	2	56	6	0	0	0	69	21	81	100	50	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Thienpont_2018_10Xv2	pericytes	6	1	144	18.5	6	66	0	0	0	6				0	33.3	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Peer_Massague_2020	pericytes	5	1	43	3	1	27	2	0	0	3				0	0	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Meyer_2021_5prime	pericytes	4	1	711	72	13	554	4	0	0	0	61.5	35	66	100	25	100	100				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Lafyatis_2019	pericytes	4	1	247	64.5	13	105	0	0	4	0	58.5	43	67	100	25	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Shalek_2018	pericytes	4	1	6	1.5	1	2	0	0	0	4	36	29	55	100	75	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Krasnow_2020	pericytes	3	1	1590	398	63	1129	3	0	0	0	51	46	75	100	33.3	100	100				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Tata_unpubl	pericytes	3	1	65	9	4	52	3	0	0	0	21	20	45	100	0	100	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Sun_2020_batch4	pericytes	3	1	422	89	11	322	3	0	0	0	0	0	31	100	66.7	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Budinger_2020	pericytes	3	1	627	274	62	291	0	0	0	3	53	27	57	100	66.7	0	33.3				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Sun_2020_batch3	pericytes	3	1	216	70	32	114	3	0	0	0	3	0	31	100	0	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Nawijn_2021	pericytes	3	1	3	1	1	1	3	0	0	0	59	56	59	100	0	100	100				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Lafyatis_Rojas_2019_10Xv2	pericytes	3	1	15	5	1	9	3	0	0	0	23	18	57	100	66.7	100	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Misharin_Budinger_2018	pericytes	3	1	3	1	1	1	1	0	2	0	55	55	55	33.3	0	33.3	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Meyer_2021_3prime	pericytes	2	1	374	187	2	372	2	0	0	0	52	29	75	100	50	100	100				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Misharin_2021	pericytes	2	1	924	462	93	831	2	0	0	0	38.5	25	52	100	0	0	50				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Sun_2020_batch2	pericytes	2	1	107	53.5	11	96	2	0	0	0	17	3	31	100	50	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Regev_2021_Cryo	pericytes	2	1	142	71	40	102	0	0	0	2				0	0	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Thienpont_2018_10Xv1	pericytes	2	1	6	3	2	4	0	0	0	2				0	50	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Xu_2020_LAM1_3	pericytes	2	1	5	2.5	1	4	0	0	2	0	61	50	72	100	0	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Meyer_2019	pericytes	2	1	18	9	2	16	2	0	0	0	62.5	57.5	67.5	100	50	100	100				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Teichmann_Meyer_2019	pericytes	2	1	2	1	1	1	2	0	0	0	55	52.5	57.5	100	0	100	100				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Duong_lungMAP_unpubl	pericytes	1	1	986	986	986	986	1	0	0	0	37	37	37	100	0	100	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Sun_2020_batch1	pericytes	1	1	52	52	52	52	1	0	0	0	3	3	3	100	100	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Gomperts_2021_CFF	pericytes	1	1	2	2	2	2	1	0	0	0				0	0	0	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)	human	Lafyatis_Rojas_2019_10Xv1	pericytes	1	1	1	1	1	1	1	0	0	0	56	56	56	100	0	100	0				age; sex; smoking status; BMI; ethnicity; lung condition (disease group)	
HLCA (pericytes)		ALL DATASETS		194	25	11680															89	69	93		
Mouse lung (CELLxGENE)	mouse	4 datasets	mural cells	18	2	1144																		dataset of origin only -- no age, sex or disease	mural cells; pericytes = 41 | donor_id is 'pooled' in 2 of 4 datasets
IPF cohort (GEO)	human	sample_demo	bulk RNA-seq libraries (no single cells)	78										62				34.6						age; sex; race; ever-smoker; disease group -- no BMI	groups: COPD/Control/IPF
GTEx v11 lung	human	GTEx	bulk lung samples (no single cells)	736														33.2						sex; age BRACKET (decade, not exact age); race; death circumstance -- no smoking or BMI	1889 lung samples; bulk, sample-level metadata only. age_median is left NA because GTEx releases AGE as a decade bracket, which has no median comparable to the exact ages in the HLCA rows.
LungMAP	human	GSE161382	pericytes (deposited annotation)	9	1	803	84	9	289					3	0.6	31	100	44.4	0	0				age (31wk/31yr/3yr); sex; batch -- NO smoking, BMI, ethnicity or disease field	Developmental atlas: ages span preterm to young adult and are deposited on two scales (weeks/years), converted to years here; the age columns are NOT comparable to the HLCA adult distribution. Disease columns are NA because GSE161382 deposits no disease field (all donors are non-diseased by study design). n_cells and cells_* are pericytes under the DEPOSITED annotation; the replication analysis used transferred HLCA labels (1051 predicted Pericytes, 762 retained after confidence/purity filtering, out of 46500 deposited / 27830 retained cells of all types).
